317: BradElder 71.818313; 90% interval: (71.006661, 72.641707)
318: TomGleeton 71.818313; 90% interval: (71.132902, 72.418617)
319: BrettMelton 71.818313; 90% interval: (71.179021, 72.275845)
320: RogerTambellini 71.818313; 90% interval: (71.818313, 74.723018)
321: JeffSluman 71.818313; 90% interval: (71.000474, 71.822707)
322: ZebPatten 71.818313; 90% interval: (71.253600, 74.291483)
323: JohnDouma 71.818313; 90% interval: (71.596803, 73.238335)
324: Lian-WeiZhang 71.818313; 90% interval: (71.170895, 72.123312)
325: SkipKendall 71.818313; 90% interval: (70.799848, 73.689867)
326: BobEstes 71.818313; 90% interval: (71.818313, 73.273018)
327: SeanMurphy 71.818313; 90% interval: (71.573262, 72.402515)
328: ShaunMicheel 71.818313; 90% interval: (71.818313, 73.318881)
329: TomCarter 71.818313; 90% interval: (71.597066, 71.818313)
330: QuinnGriffing 71.818313; 90% interval: (71.580861, 72.827972)
331: JohnCook 71.818313; 90% interval: (71.363464, 71.896237)
332: BarryLane 71.818313; 90% interval: (71.741692, 73.449829)
333: BradHauer 71.818313; 90% interval: (67.875802, 71.818313)
334: LeeJanzen 71.818313; 90% interval: (71.055448, 71.856751)
335: RaphaelJacquelin 71.818313; 90% interval: (71.126438, 71.818313)
336: DavidFrost 71.818313; 90% interval: (71.081119, 72.279021)
337: HidetoTanihara 71.818313; 90% interval: (70.234512, 72.280438)
338: PeterJacobsen 71.818313; 90% interval: (70.566847, 71.968332)
339: ErnieEls 71.818313; 90% interval: (71.187980, 72.258479)
340: JeffCoston 71.818313; 90% interval: (70.846344, 72.551382)
341: RobinFreeman 71.818313; 90% interval: (69.991805, 71.818313)
342: GregNorman 71.818313; 90% interval: (70.396560, 72.501425)
343: GeneSauers 71.818313; 90% interval: (69.347653, 71.818313)
344: GregChalmers 71.818313; 90% interval: (70.316707, 71.818313)
345: DaveEichelberger 71.818313; 90% interval: (70.336634, 72.295931)
346: JohnRiegger 71.818313; 90% interval: (70.484838, 72.677968)
347: KevinSutherland 71.818313; 90% interval: (71.702001, 73.875550)
348: DavidFaught 71.818313; 90% interval: (71.818313, 72.943218)
349: MikeBaker,Jr. 71.818313; 90% interval: (70.552384, 71.861400)
350: DavidHowser 71.818313; 90% interval: (71.632332, 73.672751)
351: MarcGirouard 71.818313; 90% interval: (71.687060, 72.520079)
352: FuzzyZoeller 71.818313; 90% interval: (70.761712, 71.818313)
353: NathanFritz 71.818313; 90% interval: (70.785213, 73.932115)
354: NickGilliam 71.818313; 90% interval: (70.498974, 72.369931)
355: BrandelChamblee 71.818313; 90% interval: (70.175736, 72.340531)
356: PeterSenior 71.818313; 90% interval: (71.624122, 73.222675)
357: ChrisWinkel 71.818313; 90% interval: (71.487152, 72.685018)
358: DanOlsen 71.818313; 90% interval: (71.079604, 72.229201)
359: GeorgeBurns 71.818313; 90% interval: (70.308610, 71.924805)
360: DavidTentis 71.818313; 90% interval: (71.818313, 72.885701)
361: LukeDonald 71.818313; 90% interval: (70.366855, 72.007361)
362: BrianWatts 71.818313; 90% interval: (71.780233, 74.783174)
363: Jean-FrancoisRemesy 71.818313; 90% interval: (71.499852, 72.553929)
364: FredCouples 71.818313; 90% interval: (71.818313, 72.769628)
365: PeteJordan 71.818313; 90% interval: (70.743410, 72.308935)
366: Per-UlrikJohansson 71.818313; 90% interval: (71.638284, 72.955722)
367: TrevorImmelman 71.818313; 90% interval: (70.927949, 71.818313)
368: StewartCink 71.818313; 90% interval: (70.725877, 72.243645)
369: JasonBohn 71.818313; 90% interval: (71.676388, 72.249074)
370: ChrisDiMarco 71.818313; 90% interval: (71.544187, 72.592748)
371: JeffBrehaut 71.818313; 90% interval: (71.661623, 72.710016)
372: BrendenPappas 71.818313; 90% interval: (71.522249, 71.818313)
373: BrianBateman 71.818313; 90% interval: (71.312368, 71.818313)
374: SteveScott 71.818313; 90% interval: (71.627113, 73.544076)
375: PaulStankowski 71.818313; 90% interval: (71.757160, 72.298457)
376: PaulLawrie 71.818313; 90% interval: (71.660861, 72.653784)
377: BernhardLanger 71.818313; 90% interval: (71.214083, 72.235932)
378: BradAdamonis 71.818313; 90% interval: (70.656374, 72.533356)
379: ThomasBjorn 71.818313; 90% interval: (71.577939, 72.488002)
380: JohnAber 71.818313; 90% interval: (71.725335, 72.351561)
381: JeffGove 71.818313; 90% interval: (71.677402, 71.933297)
382: CharlesWarren 71.818313; 90% interval: (71.123586, 72.309842)
383: ScottHoch 71.818999; 90% interval: (71.818313, 73.563539)
384: JohnE.Morgan 71.827191; 90% interval: (70.879588, 73.104813)
385: JamieNeher 71.835511; 90% interval: (71.818313, 72.862696)
386: LeeWestwood 71.859978; 90% interval: (71.306882, 72.957862)
387: RolandThatcher 71.868344; 90% interval: (71.818313, 73.468041)
388: MarkWiebe 71.899960; 90% interval: (70.739691, 72.763466)
389: MikeSmall 71.902370; 90% interval: (71.609792, 72.237561)
390: JustinRose 71.908489; 90% interval: (71.818313, 72.527328)
391: JesperParnevik 71.910043; 90% interval: (71.298761, 72.885977)
392: JohnRollins 71.929164; 90% interval: (71.042413, 72.436284)
393: MiguelAngelJimenez 71.932244; 90% interval: (70.957003, 73.066963)
394: DavidBranham 71.955726; 90% interval: (71.282949, 72.769769)
395: JerryKelly 71.955816; 90% interval: (71.249349, 72.937263)
396: JeffreyLankford 71.978224; 90% interval: (70.489488, 72.965921)
