280: RobertGarrigus 71.339545; 90% interval: (69.272382, 73.072299)
281: JohnConnelly 71.344660; 90% interval: (68.482897, 75.553000)
282: KevinHaefner 71.366303; 90% interval: (68.091368, 72.908455)
283: RolandThatcher 71.383788; 90% interval: (67.670005, 75.465858)
284: DannyMulhearn 71.416311; 90% interval: (67.529596, 74.077536)
285: PaulHoltby 71.416418; 90% interval: (68.902268, 75.354541)
286: ErikCompton 71.417239; 90% interval: (68.088746, 76.116476)
287: TomLehman 71.439782; 90% interval: (67.503838, 75.230053)
288: StephenSokol 71.441400; 90% interval: (67.417993, 74.865184)
289: RobertAllenby 71.485738; 90% interval: (68.664097, 74.234486)
290: JohnAdams 71.503501; 90% interval: (67.010171, 73.729612)
291: LorenRoberts 71.515878; 90% interval: (68.429574, 78.631839)
292: JimMcGovern 71.526108; 90% interval: (69.366090, 74.595716)
293: RichardS.Johnson 71.563635; 90% interval: (70.462342, 73.867065)
294: JohnE.Morgan 71.566602; 90% interval: (69.867808, 74.445202)
295: ChrisWinkel 71.585262; 90% interval: (66.273334, 73.352199)
296: PadraigHarrington 71.588932; 90% interval: (69.462195, 73.450910)
297: RetiefGoosen 71.591575; 90% interval: (68.706318, 77.121056)
298: BradHauer 71.628221; 90% interval: (70.477298, 75.598759)
299: HarrisonFrazar 71.639726; 90% interval: (68.577015, 73.255611)
300: DavidBranshaw 71.641530; 90% interval: (69.229869, 73.342309)
301: ChadCampbell 71.649405; 90% interval: (69.835614, 75.596997)
302: IanWoosnam 71.654349; 90% interval: (67.910224, 75.481976)
303: RickyBarnes 71.663204; 90% interval: (69.759966, 73.439178)
304: MarcoDawson 71.679776; 90% interval: (69.516866, 73.380506)
305: BillyMayfair 71.707080; 90% interval: (70.189966, 73.121553)
306: LarryMize 71.725175; 90% interval: (69.427447, 73.576222)
307: D.J.Brigman 71.732943; 90% interval: (69.421344, 75.112196)
308: MikeGrob 71.738535; 90% interval: (68.689243, 73.089457)
309: RodPampling 71.743482; 90% interval: (69.307138, 76.848675)
310: ClintJensen 71.745437; 90% interval: (68.075343, 74.558800)
311: MiguelAngelJimenez 71.754492; 90% interval: (67.294761, 74.034243)
312: GregKraft 71.757225; 90% interval: (70.560797, 72.904885)
313: ChrisSmith 71.758558; 90% interval: (68.484184, 75.304392)
314: AlexCejka 71.763614; 90% interval: (65.881207, 74.507494)
315: FrankVana 71.781841; 90% interval: (70.249907, 75.764282)
316: OmarUresti 71.787405; 90% interval: (66.990161, 76.579641)
317: AaronBarber 71.818313; 90% interval: (68.659518, 76.154121)
318: DerekSanders 71.818313; 90% interval: (68.323530, 73.165546)
319: LonnyAlexander 71.818313; 90% interval: (66.866719, 74.860501)
320: JimSchouller,Jr. 71.818313; 90% interval: (69.910000, 74.665538)
321: AdamMeyer 71.818313; 90% interval: (67.420313, 74.585541)
322: Per-UlrikJohansson 71.818313; 90% interval: (67.548501, 75.828706)
323: BenoitBeisser 71.818313; 90% interval: (70.212685, 73.989915)
324: MarcBourgeois 71.818313; 90% interval: (66.586867, 74.575452)
325: DavidFaught 71.818313; 90% interval: (70.239342, 75.400835)
326: VaughnTaylor 71.859861; 90% interval: (69.356347, 76.018124)
327: SandyLyle 71.886595; 90% interval: (70.514711, 73.546375)
328: ScottPiercy 71.895444; 90% interval: (63.707581, 76.189367)
329: RettCrowder 71.904733; 90% interval: (69.938264, 74.396498)
330: MattKuchar 71.911938; 90% interval: (69.279499, 75.755180)
331: WoodyAustin 71.919930; 90% interval: (69.525467, 81.612340)
