143: RobinFreeman 64.462848; 90% interval: (44.963669, 74.873234)
144: JoseMariaOlazabal 64.534904; 90% interval: (55.745392, 73.311358)
145: SvenStruver 64.579210; 90% interval: (48.195635, 79.907664)
146: ToddFischer 64.806692; 90% interval: (57.299220, 73.861040)
147: BrettMelton 64.877691; 90% interval: (58.937340, 71.818144)
148: DavidPeoples 64.881468; 90% interval: (60.128685, 77.130961)
149: TrevorDodds 64.950707; 90% interval: (50.603820, 73.865403)
150: DanielChopra 65.122203; 90% interval: (57.714564, 81.456387)
151: TrevorImmelman 65.289633; 90% interval: (61.316775, 68.964599)
152: MattGogel 65.295284; 90% interval: (48.525517, 75.578732)
153: GeneSauers 65.365691; 90% interval: (56.364370, 74.571429)
154: DirkAyers 65.411401; 90% interval: (48.859868, 76.529829)
155: ShingoKatayama 65.454574; 90% interval: (58.776592, 76.661657)
156: CharlesHowellIII 65.492774; 90% interval: (60.708622, 82.717050)
157: NickWatney 65.606208; 90% interval: (60.996308, 75.976220)
158: TimWeinhart 65.606537; 90% interval: (58.803458, 71.059124)
159: JasonBohn 65.663762; 90% interval: (58.993719, 75.042071)
160: CarlPettersson 65.674617; 90% interval: (55.180771, 77.357953)
161: JayDonBlake 65.679792; 90% interval: (49.359675, 82.221450)
162: GuyBoros 65.777772; 90% interval: (59.205617, 73.512420)
163: BobMucha 65.794089; 90% interval: (55.614518, 74.518119)
164: DavidOgrin 65.845995; 90% interval: (60.034015, 71.202011)
165: J.B.Sneve 65.861465; 90% interval: (59.022812, 77.059123)
166: JeffSluman 65.871060; 90% interval: (56.756343, 74.118120)
167: LeifOlsen 65.881904; 90% interval: (58.249490, 80.681310)
168: DonnieHammond 66.154743; 90% interval: (50.981985, 72.342158)
169: JasonLaing 66.167561; 90% interval: (46.354821, 78.241491)
170: SpencerLevin 66.199545; 90% interval: (60.702656, 79.449635)
171: ErnieEls 66.270129; 90% interval: (60.370888, 75.137842)
172: CharlieBrown 66.363698; 90% interval: (57.692142, 70.893347)
173: ChrisBotsford 66.404159; 90% interval: (59.597164, 76.062914)
174: MarkWiebe 66.414728; 90% interval: (59.160060, 72.000028)
175: DavidTentis 66.516506; 90% interval: (58.781872, 73.692030)
176: JeffRoth 66.658527; 90% interval: (54.278122, 73.737023)
177: SteveBurns 66.705730; 90% interval: (57.906973, 72.090573)
178: BobbyCochran 66.897647; 90% interval: (60.846094, 75.010681)
179: BradElder 66.924700; 90% interval: (60.038840, 71.541442)
180: TatsuakiNakamura 66.981739; 90% interval: (59.070077, 74.801333)
181: GeorgeBurns 67.013748; 90% interval: (54.853933, 84.464508)
182: PatrickMoore 67.068501; 90% interval: (59.877355, 74.946895)
183: GabrielHjertstedt 67.161713; 90% interval: (57.460077, 76.268820)
184: TommyArmourIII 67.188292; 90% interval: (52.736702, 74.669181)
185: VijaySingh 67.188416; 90% interval: (62.153954, 79.434033)
186: DavidEdwards 67.224757; 90% interval: (50.397390, 77.575282)
187: JohnElliott 67.254502; 90% interval: (58.765662, 71.553667)
188: JonathanKaye 67.320322; 90% interval: (59.860377, 77.464687)
189: DavidRoesch 67.378387; 90% interval: (61.279415, 75.603441)
190: PadraigHarrington 67.388459; 90% interval: (55.640757, 75.938184)
